rank,company_name,industry,sub_industry,bbd_qyxx_id
3,中国联合网络通信集团有限公司,新一代信息技术,云计算,77931b2a40a64a2c846f8c0c5e2d0ce8
3,中国民航信息网络股份有限公司,新一代信息技术,下一代通信技术,10be88a2a4554634ad3b5e41f1321582
3,中国有色金属建设股份有限公司,新材料,特种金属功能材料,f2e94530ddea46f6b05e2ed3ace1e6c5
3,欧菲光集团股份有限公司,新材料,新型无机非金属材料,1b5769afcb194ddcae3a6a54b63eab47
4,湖南博云新材料股份有限公司,新材料,高性能复合材料,2055c20a794e467bb2228ac77009ef22
4,鞍钢集团有限公司,新材料,高端金属结构材料,39af394e5aeb4f1ba0ec10a5b6176eaf
4,中兴通讯股份有限公司,新一代信息技术,物联网,626a9509743d4a97afb1bf71e40cdb2a
4,内蒙古包钢西创集团有限责任公司,新材料,特种金属功能材料,ee9eed7b88944953a2d63c64d7465e9f
4,中国石油化工股份有限公司,新能源,氢能,27396473a2fd4118b04cb9e6a7981c95
4,传化智联股份有限公司,新材料,先进高分子材料,d3e973b4b39a4fd4aa3dcac10a505333
4,长虹美菱股份有限公司,新材料,前沿新材料,31b1b2bbc9644072b08598ea916e37e3
4,天津中环半导体股份有限公司,新能源,光伏,9e6b535ba5034e008c604bf18af70845
4,江苏核电有限公司,新能源,核电,c45c2db754eb4f6699539e7f0d62d302
4,东方电气股份有限公司,新能源,风电,dd9ee41fe436428baa57d2610574cae1
4,北京中长石基信息技术股份有限公司,新一代信息技术,下一代通信技术,c65935997ee34c1e9972e2ee6f05087f
4,江西赣锋锂业股份有限公司,新材料,新型无机非金属材料,b1c477a3f7cf4081b81e8e82fe8820c6
4,深圳市海思半导体有限公司,新一代信息技术,集成电路,78dde50dc92e4ba7be50ded48dca3915
4,深圳市腾讯计算机系统有限公司,新一代信息技术,云计算,f8f84801f77b4894821eb437908504f4
5,紫光展锐（上海）科技有限公司,新一代信息技术,集成电路,b0c105414c264d5cb4ac798100af94c6
5,虹软科技股份有限公司,新一代信息技术,下一代通信技术,5b61162cdc6a493a9da40ce1716665d9
5,阳江核电有限公司,新能源,核电,46c2f1dccbb74ffeb0ee873fbd41dc0b
5,网宿科技股份有限公司,新一代信息技术,云计算,df83c9eb288b4d65ad310486c60fc90a
5,福建浔兴拉链科技股份有限公司,新材料,先进高分子材料,2d247668968a4c549ae4eca2b706d63b
5,惠州亿纬锂能股份有限公司,新材料,新型无机非金属材料,26a2c94738ce4349babd1aaafbf13ee8
5,东华能源股份有限公司,新能源,氢能,1231d1912bff4bf4aa9768a7ffbd746f
5,中国电子科技集团有限公司,新一代信息技术,物联网,c3473e7c2f42407fb5742e68075571f7
5,天顺风能（苏州）股份有限公司,新能源,风电,4866212a2dff481986269e92d179f867
5,厦门钨业股份有限公司,新材料,特种金属功能材料,acbb612606c24312abfdc8d552ea4096
5,湖南景峰医药股份有限公司,新材料,前沿新材料,055c38449f3c4037bc1f0700833056c5
5,首钢集团有限公司,新材料,高端金属结构材料,c462238f7bf84c7999474a62bbdb040a
5,晶科能源有限公司,新能源,光伏,dd207c2b39294bfc8abbc2b13103cc39
6,北京四维图新科技股份有限公司,新一代信息技术,下一代通信技术,07d55d287e7d4e2c87d68798991aea39
6,龙源电力集团股份有限公司,新能源,风电,5bb66d484fa1451ab66a3fa2fe267d84
6,杭州高新橡塑材料股份有限公司,新材料,前沿新材料,bc31bcdf799944ed995103eea70f7e7b
6,信息产业电子第十一设计研究院科技工程股份有限公司,新能源,光伏,554ec4ea49394ce9b202956c0823f36c
6,中国华录集团有限公司,新一代信息技术,物联网,9160fd88d9994f72bb5dfaa1b4bc2803
6,辽宁红沿河核电有限公司,新能源,核电,293482d48f5c4d94b5c030f46dfd9684
6,华为技术有限公司,新一代信息技术,云计算,bf1b58e896e942a3ae5a66c1c976bf48
6,北京中科三环高技术股份有限公司,新材料,特种金属功能材料,ff1a80d78dc945f28a670e199cb9523e
6,宁波康强电子股份有限公司,新材料,先进高分子材料,1afb0a6db16f4da0aa54778daf71940c
6,华润微电子控股有限公司,新一代信息技术,集成电路,bdefef642c3b43899687fbe4aa141d8d
6,金能科技股份有限公司,新能源,氢能,4b3287473cc441b3a4850505ee49bcf9
